state,district,pincode_x,age_0_5,age_5_17,age_18_greater,pincode_y,bio_age_5_17,bio_age_17_,pincode,demo_age_5_17,demo_age_17_,total_enrol,total_updates,vulnerability_score
ANDHRA PRADESH,HYDERABAD,938062485.0,3831.0,1008.0,1.0,2252674100.0,23363.0,82381.0,2347179610.0,4382.0,31824.0,4840.0,141950.0,29.322454038421814
ANDHRA PRADESH,K.V. RANGAREDDY,9035044.0,15.0,4.0,0.0,141893711.0,216.0,188.0,78270921.0,32.0,134.0,19.0,570.0,28.5
ANDHRA PRADESH,K.V.RANGAREDDY,32090311.0,55.0,14.0,0.0,274439484.0,168.0,605.0,204570306.0,48.0,470.0,69.0,1291.0,18.442857142857143
ANDHRA PRADESH,KAKINADA,373299957.0,858.0,84.0,27.0,983971928.0,7141.0,4557.0,1533311745.0,3621.0,24648.0,969.0,39967.0,41.203092783505156
ANDHRA PRADESH,KARIM NAGAR,34355117.0,71.0,11.0,0.0,327923155.0,387.0,1310.0,322360513.0,82.0,1069.0,82.0,2848.0,34.31325301204819
ANDHRA PRADESH,KARIMNAGAR,278959224.0,552.0,107.0,0.0,1627806391.0,4338.0,12789.0,1762250793.0,967.0,9364.0,659.0,27458.0,41.6030303030303
ANDHRA PRADESH,KHAMMAM,422460671.0,869.0,264.0,0.0,1951576515.0,15536.0,25422.0,2227483219.0,4648.0,27720.0,1133.0,73326.0,64.66137566137566
ANDHRA PRADESH,KRISHNA,1805951425.0,6163.0,540.0,34.0,4330455161.0,146788.0,86459.0,4754642141.0,13459.0,98390.0,6737.0,345096.0,51.21638468388246
ANDHRA PRADESH,KURNOOL,2024619831.0,10923.0,823.0,24.0,3441726839.0,242992.0,107641.0,3858972504.0,29378.0,148267.0,11770.0,528278.0,44.87961940361907
ANDHRA PRADESH,MAHABUB NAGAR,475654815.0,1079.0,432.0,0.0,1529307004.0,822.0,13030.0,1782917139.0,444.0,12369.0,1511.0,26665.0,17.63558201058201
ANDHRA PRADESH,MAHABUBNAGAR,3564578.0,7.0,0.0,0.0,55505537.0,39.0,81.0,40227671.0,13.0,68.0,7.0,201.0,25.125
ANDHRA PRADESH,MAHBUBNAGAR,278539304.0,511.0,211.0,0.0,1339796163.0,3060.0,11679.0,1449777628.0,1254.0,8643.0,722.0,24636.0,34.0746887966805
ANDHRA PRADESH,MEDAK,470595993.0,1176.0,229.0,1.0,1638816687.0,6281.0,16164.0,1731226484.0,1711.0,11252.0,1406.0,35408.0,25.165600568585642
ANDHRA PRADESH,N. T. R,346276800.0,790.0,97.0,46.0,994699648.0,6788.0,6771.0,1602066132.0,4718.0,33352.0,933.0,51629.0,55.27730192719486
ANDHRA PRADESH,NALGONDA,433507431.0,951.0,216.0,0.0,1993753966.0,5640.0,27013.0,2321550883.0,1623.0,28221.0,1167.0,62497.0,53.507705479452056
ANDHRA PRADESH,NANDYAL,333836668.0,860.0,39.0,6.0,997349754.0,6337.0,4303.0,1537480771.0,4798.0,22587.0,905.0,38025.0,41.97019867549669
ANDHRA PRADESH,NELLORE,1426484285.0,4611.0,754.0,2.0,3154510623.0,99065.0,59412.0,3555559050.0,7111.0,61012.0,5367.0,226600.0,42.21311475409836
ANDHRA PRADESH,NIZAMABAD,178127698.0,453.0,71.0,0.0,964187416.0,3452.0,7527.0,945571868.0,728.0,4813.0,524.0,16520.0,31.466666666666665
ANDHRA PRADESH,PALNADU,315583896.0,759.0,76.0,25.0,862106076.0,6007.0,4046.0,1531423427.0,3955.0,21540.0,860.0,35548.0,41.28687572590012
ANDHRA PRADESH,PARVATHIPURAM MANYAM,210203235.0,464.0,36.0,8.0,705196268.0,5090.0,5540.0,980071231.0,1511.0,7880.0,508.0,20021.0,39.33398821218075
ANDHRA PRADESH,PRAKASAM,1920290064.0,6405.0,1157.0,61.0,3996491684.0,136533.0,75766.0,4642692926.0,15519.0,104979.0,7623.0,332797.0,43.65123294858342
ANDHRA PRADESH,RANGAREDDI,562983293.0,1479.0,405.0,0.0,1960532364.0,13263.0,41332.0,2084198526.0,3569.0,18696.0,1884.0,76860.0,40.774535809018566
ANDHRA PRADESH,SPSR NELLORE,8388529.0,1167.0,713.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,2183.0,0.0,0.0
ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,514163134.0,689.0,622.0,303.0,1128420365.0,6668.0,3467.0,2073419984.0,3045.0,19020.0,1614.0,32200.0,19.938080495356036
ANDHRA PRADESH,SRI SATHYA SAI,369536818.0,879.0,40.0,19.0,1005620808.0,5704.0,4711.0,1813612436.0,3953.0,18154.0,938.0,32522.0,34.63471778487753
ANDHRA PRADESH,SRIKAKULAM,1265405627.0,4157.0,135.0,8.0,2752626720.0,125178.0,67429.0,3251516733.0,24315.0,111384.0,4300.0,328306.0,76.33248081841433
ANDHRA PRADESH,TIRUPATI,495004247.0,802.0,689.0,228.0,1065188203.0,5633.0,4765.0,1929044297.0,4768.0,28462.0,1719.0,43628.0,25.365116279069767
ANDHRA PRADESH,VISAKHAPATANAM,531029.0,186.0,28.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,0.0
ANDHRA PRADESH,VISAKHAPATNAM,1941659691.0,7688.0,460.0,30.0,3764167408.0,195385.0,115918.0,4237885361.0,19864.0,137329.0,8178.0,468496.0,57.28035212128622
ANDHRA PRADESH,VIZIANAGARAM,1138198603.0,3695.0,158.0,3.0,2655164030.0,101296.0,58702.0,3074251034.0,11069.0,67818.0,3856.0,238885.0,61.93544205340939
ANDHRA PRADESH,WARANGAL,403428779.0,858.0,201.0,0.0,2319468047.0,13746.0,38012.0,2600436602.0,3605.0,31161.0,1059.0,86524.0,81.62641509433962
ANDHRA PRADESH,WEST GODAVARI,1842879145.0,5568.0,343.0,24.0,4599849714.0,139979.0,80435.0,5337816762.0,14258.0,112548.0,5935.0,347220.0,58.49393530997305
ANDHRA PRADESH,Y. S. R,303545913.0,738.0,52.0,33.0,880750599.0,5183.0,3425.0,1668638037.0,4161.0,24025.0,823.0,36794.0,44.65291262135922
ARUNACHAL PRADESH,ANJAW,15842080.0,23.0,11.0,3.0,55447280.0,675.0,496.0,67328840.0,128.0,632.0,37.0,1931.0,50.81578947368421
ARUNACHAL PRADESH,CHANGLANG,145747710.0,486.0,304.0,13.0,336643065.0,5436.0,2747.0,385753322.0,690.0,4969.0,803.0,13842.0,17.21641791044776
ARUNACHAL PRADESH,DIBANG VALLEY,7128918.0,7.0,3.0,0.0,50694536.0,313.0,158.0,63368152.0,28.0,132.0,10.0,631.0,57.36363636363637
ARUNACHAL PRADESH,EAST KAMENG,52936844.0,88.0,79.0,14.0,100342998.0,2690.0,1607.0,106663823.0,292.0,1130.0,181.0,5719.0,31.423076923076923
ARUNACHAL PRADESH,EAST SIANG,60914896.0,80.0,86.0,2.0,122620947.0,2242.0,1079.0,135278594.0,423.0,2080.0,168.0,5824.0,34.46153846153846
ARUNACHAL PRADESH,KAMLE,13449210.0,3.0,25.0,2.0,27689550.0,57.0,86.0,38765370.0,64.0,254.0,30.0,461.0,14.870967741935484
ARUNACHAL PRADESH,KRA DAADI,30062484.0,18.0,59.0,4.0,56960496.0,717.0,523.0,71991738.0,145.0,369.0,81.0,1754.0,21.390243902439025
ARUNACHAL PRADESH,KURUNG KUMEY,26898012.0,19.0,44.0,12.0,66453912.0,1299.0,2091.0,58542732.0,106.0,229.0,75.0,3725.0,49.01315789473684
ARUNACHAL PRADESH,LEPARADA,2373303.0,0.0,2.0,1.0,18195323.0,34.0,2.0,16613121.0,8.0,15.0,3.0,59.0,14.75
ARUNACHAL PRADESH,LOHIT,65740574.0,102.0,63.0,1.0,198018133.0,1796.0,2095.0,212274612.0,212.0,1654.0,166.0,5757.0,34.47305389221557
ARUNACHAL PRADESH,LONGDING,61775209.0,141.0,719.0,37.0,172194965.0,1611.0,988.0,178576016.0,263.0,1222.0,897.0,4084.0,4.547884187082405
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,42773940.0,58.0,49.0,2.0,65745130.0,1373.0,875.0,64160910.0,186.0,971.0,109.0,3405.0,30.954545454545453
ARUNACHAL PRADESH,LOWER SIANG,18986859.0,10.0,18.0,3.0,83066754.0,359.0,54.0,95725157.0,70.0,269.0,31.0,752.0,23.5
ARUNACHAL PRADESH,LOWER SUBANSIRI,45884949.0,50.0,55.0,0.0,102054430.0,1530.0,1150.0,113921221.0,198.0,1323.0,105.0,4201.0,39.632075471698116
ARUNACHAL PRADESH,NAMSAI,68913019.0,95.0,54.0,1.0,176639056.0,3561.0,2442.0,192481126.0,221.0,1914.0,150.0,8138.0,53.89403973509934
ARUNACHAL PRADESH,PAKKE KESSANG,3160412.0,2.0,1.0,1.0,29233811.0,30.0,44.0,37924944.0,14.0,73.0,4.0,161.0,32.2
ARUNACHAL PRADESH,PAPUM PARE,189076082.0,201.0,241.0,5.0,415334902.0,4835.0,4424.0,495237370.0,770.0,4152.0,447.0,14181.0,31.654017857142858
ARUNACHAL PRADESH,SHI-YOMI,15029057.0,8.0,22.0,5.0,52206196.0,210.0,319.0,63280240.0,43.0,195.0,35.0,767.0,21.305555555555557
ARUNACHAL PRADESH,SIANG,35596459.0,39.0,60.0,4.0,113120819.0,880.0,429.0,128150646.0,175.0,602.0,103.0,2086.0,20.057692307692307
ARUNACHAL PRADESH,TAWANG,67158932.0,104.0,43.0,7.0,161181418.0,1866.0,598.0,160391305.0,209.0,742.0,154.0,3415.0,22.032258064516128
ARUNACHAL PRADESH,TIRAP,49810674.0,59.0,39.0,1.0,214705807.0,1371.0,522.0,224976000.0,96.0,894.0,99.0,2883.0,28.83
ARUNACHAL PRADESH,UPPER SIANG,26902540.0,21.0,21.0,1.0,118719544.0,1235.0,561.0,142471167.0,199.0,1122.0,43.0,3117.0,70.8409090909091
ARUNACHAL PRADESH,UPPER SUBANSIRI,41929466.0,76.0,55.0,12.0,62498638.0,2462.0,1704.0,68827614.0,347.0,1202.0,143.0,5715.0,39.6875
ARUNACHAL PRADESH,WEST KAMENG,100336735.0,157.0,103.0,18.0,353948114.0,2967.0,3205.0,390290798.0,375.0,1484.0,278.0,8031.0,28.78494623655914
ARUNACHAL PRADESH,WEST SIANG,78316867.0,110.0,80.0,2.0,203342217.0,3345.0,1301.0,225485555.0,521.0,3031.0,192.0,8198.0,42.476683937823836
ASSAM,BAJALI,21877349.0,19.0,8.0,2.0,17189297.0,6.0,17.0,343785847.0,57.0,787.0,29.0,867.0,28.9
ASSAM,BAKSA,566477927.0,2120.0,1179.0,400.0,964182020.0,11602.0,5853.0,1341570797.0,1346.0,15666.0,3699.0,34467.0,9.315405405405405
ASSAM,BARPETA,1000091273.0,10545.0,3306.0,532.0,1344653273.0,66392.0,29029.0,1567331424.0,4978.0,54164.0,14383.0,154563.0,10.745481090100112
ASSAM,BISWANATH,392870950.0,789.0,464.0,76.0,756728101.0,6159.0,3389.0,1019426297.0,844.0,10181.0,1329.0,20573.0,15.468421052631578
ASSAM,BONGAIGAON,480997665.0,2324.0,626.0,225.0,777900112.0,24633.0,11975.0,916559125.0,3318.0,35806.0,3175.0,75732.0,23.84508816120907
ASSAM,CACHAR,2034291862.0,11474.0,4513.0,1527.0,2926515940.0,42167.0,23978.0,3661902847.0,5078.0,52941.0,17514.0,124164.0,7.089009420496717
ASSAM,CHARAIDEO,278132986.0,659.0,336.0,194.0,495767694.0,6096.0,2197.0,658405008.0,763.0,9150.0,1189.0,18206.0,15.299159663865547
ASSAM,CHIRANG,401857526.0,2013.0,1071.0,264.0,708883679.0,18078.0,9009.0,838923032.0,1175.0,12222.0,3348.0,40484.0,12.088384592415647
ASSAM,DARRANG,629726715.0,4390.0,1914.0,1291.0,835995629.0,16240.0,10025.0,1007758801.0,3187.0,25132.0,7595.0,54584.0,7.185887309110058
ASSAM,DHEMAJI,479260188.0,3864.0,1846.0,1191.0,704327580.0,12494.0,8236.0,858567293.0,1927.0,20422.0,6901.0,43079.0,6.24152419588525
ASSAM,DHUBRI,1023769225.0,8432.0,3849.0,365.0,1284605243.0,40373.0,19102.0,1507846172.0,7185.0,73614.0,12646.0,140274.0,11.09148414643789
ASSAM,DIBRUGARH,853824325.0,3895.0,1675.0,1492.0,1305885372.0,14970.0,11765.0,1837393578.0,1874.0,24645.0,7062.0,53254.0,7.539855585445278
ASSAM,DIMA HASAO,23664969.0,119.0,103.0,28.0,18931953.0,11.0,14.0,157770271.0,16.0,264.0,250.0,305.0,1.2151394422310757
ASSAM,GOALPARA,580306918.0,6881.0,2220.0,797.0,774526666.0,17021.0,10603.0,938203181.0,4325.0,36242.0,9898.0,68191.0,6.888675623800384
ASSAM,GOLAGHAT,791914355.0,5537.0,4047.0,1921.0,1070813370.0,12369.0,7785.0,1330856229.0,1998.0,25926.0,11505.0,48078.0,4.178515557100643
ASSAM,HAILAKANDI,643196534.0,3826.0,1441.0,311.0,838682859.0,14201.0,6922.0,1040491935.0,2253.0,19049.0,5578.0,42425.0,7.604409392364223
ASSAM,HOJAI,462422942.0,5288.0,1607.0,155.0,633777675.0,15271.0,13731.0,736278240.0,2371.0,22937.0,7050.0,54310.0,7.702453552687562
ASSAM,JORHAT,918850791.0,2905.0,1122.0,860.0,1521158737.0,10704.0,5575.0,1986076426.0,1266.0,18522.0,4887.0,36067.0,7.378682487725041
ASSAM,KAMRUP,1429537142.0,9311.0,3370.0,985.0,2079461315.0,30056.0,13196.0,2823872186.0,3266.0,41318.0,13666.0,87836.0,6.4268676373746985
ASSAM,KAMRUP METRO,1336561693.0,2654.0,2055.0,1337.0,2009150776.0,14584.0,12178.0,2657441856.0,2308.0,23883.0,6046.0,52953.0,8.756904250041343
ASSAM,KARBI ANGLONG,725325466.0,2918.0,4107.0,1082.0,1112612524.0,25507.0,13699.0,1341070252.0,2438.0,28683.0,8107.0,70327.0,8.673778983719783
ASSAM,KARIMGANJ,1231112373.0,9336.0,4903.0,594.0,1558405089.0,24232.0,11414.0,1863613719.0,4135.0,37279.0,14833.0,77060.0,5.194822704597546
ASSAM,KOKRAJHAR,590647334.0,2519.0,1572.0,518.0,979972673.0,18300.0,10559.0,1167977093.0,1928.0,20741.0,4609.0,51528.0,11.177440347071583
ASSAM,LAKHIMPUR,712222316.0,4726.0,1825.0,648.0,1028147178.0,17189.0,12583.0,1230937093.0,2993.0,32419.0,7199.0,65184.0,9.053333333333333
ASSAM,MAJULI,114629486.0,347.0,157.0,11.0,248886658.0,2139.0,1243.0,323476799.0,290.0,2991.0,515.0,6663.0,12.912790697674419
ASSAM,MARIGAON,624201261.0,6735.0,2928.0,824.0,820534778.0,19361.0,14575.0,1032521872.0,4499.0,39311.0,10487.0,77746.0,7.412852784134249
ASSAM,NAGAON,1395504986.0,9002.0,3478.0,393.0,2133919415.0,44214.0,73665.0,2489847058.0,7120.0,90257.0,12873.0,215256.0,16.720211278545907
ASSAM,NALBARI,857101183.0,2709.0,977.0,195.0,1447792281.0,14657.0,5594.0,1838455888.0,2083.0,18878.0,3881.0,41212.0,10.61617722823287
ASSAM,NORTH CACHAR HILLS,183012063.0,501.0,420.0,137.0,325792068.0,2782.0,1242.0,384164033.0,300.0,3299.0,1058.0,7623.0,7.198300283286119
ASSAM,SIBSAGAR,652111015.0,1561.0,514.0,662.0,1263368762.0,8287.0,3093.0,1834558406.0,1031.0,12039.0,2737.0,24450.0,8.929875821767714
ASSAM,SIVASAGAR,3142661.0,204.0,113.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,0.0,0.0
ASSAM,SONITPUR,1375461235.0,5501.0,2723.0,973.0,2166716526.0,17454.0,12663.0,2782308265.0,3162.0,40414.0,9197.0,73693.0,8.011850402261361
ASSAM,SOUTH SALMARA MANKACHAR,191867049.0,1062.0,364.0,46.0,257649866.0,2855.0,1993.0,307770160.0,1188.0,19859.0,1472.0,25895.0,17.57976917854718
ASSAM,SRIBHUMI,116724984.0,115.0,43.0,11.0,224781058.0,42.0,315.0,1275293993.0,192.0,4895.0,169.0,5444.0,32.023529411764706
ASSAM,TAMULPUR DISTRICT,38286890.0,22.0,33.0,0.0,46881811.0,17.0,53.0,346925420.0,54.0,1214.0,55.0,1338.0,23.892857142857142
ASSAM,TINSUKIA,942627691.0,3884.0,2867.0,1633.0,1403328035.0,12082.0,7167.0,1926134975.0,2000.0,33249.0,8384.0,54498.0,6.499463327370304
ASSAM,UDALGURI,735779589.0,2658.0,1322.0,585.0,1159353545.0,12995.0,9353.0,1596211377.0,1380.0,18400.0,4565.0,42128.0,9.226456416995182
ASSAM,WEST KARBI ANGLONG,122846596.0,390.0,987.0,507.0,118152906.0,1084.0,2308.0,311417966.0,152.0,1299.0,1884.0,4843.0,2.5692307692307694
BALANAGAR,IDPL COLONY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000074.0,0.0,2.0,0.0,2.0,2.0
BIHAR,ARARIA,932047020.0,9939.0,5515.0,125.0,1254977948.0,72533.0,82911.0,1504444766.0,9001.0,146314.0,15579.0,310759.0,19.94602053915276
BIHAR,ARWAL,469690505.0,812.0,3020.0,34.0,668214974.0,12094.0,18610.0,851505697.0,2232.0,25538.0,3866.0,58474.0,15.121282648047583
BIHAR,AURANGABAD,1315352375.0,3001.0,7096.0,73.0,1769110848.0,46556.0,49874.0,2142809951.0,10545.0,95295.0,10170.0,202270.0,19.886933438206665
BIHAR,AURANGABAD(BH),72524674.0,49.0,64.0,0.0,139281232.0,35.0,197.0,307405788.0,26.0,668.0,113.0,926.0,8.12280701754386
BIHAR,BANKA,1115709650.0,6198.0,4797.0,79.0,1668816227.0,49854.0,48373.0,1993225996.0,7434.0,90686.0,11074.0,196347.0,17.728848758465013
BIHAR,BEGUSARAI,1485429116.0,8106.0,5045.0,58.0,2104775213.0,72549.0,74659.0,2586405534.0,13270.0,119720.0,13209.0,280198.0,21.2110522331567
BIHAR,BHABUA,23774076.0,14.0,17.0,0.0,24595203.0,4.0,29.0,81958961.0,5.0,127.0,31.0,165.0,5.15625
BIHAR,BHAGALPUR,1462791303.0,10456.0,10229.0,377.0,2091460703.0,72409.0,75905.0,2433813705.0,15385.0,139641.0,21062.0,303340.0,14.401557233062716
BIHAR,BHOJPUR,1853557069.0,3136.0,10115.0,106.0,2581847865.0,39485.0,57511.0,3076715360.0,10707.0,131634.0,13357.0,239337.0,17.91712831262165
BIHAR,BUXAR,1191148499.0,2528.0,4648.0,64.0,1638732587.0,24831.0,32197.0,1964394309.0,7052.0,66850.0,7240.0,130930.0,18.081756663444274
BIHAR,DARBHANGA,2057565953.0,10017.0,5677.0,71.0,2863147953.0,93323.0,117057.0,3270595884.0,12315.0,141613.0,15765.0,364308.0,23.10719269313713
BIHAR,EAST CHAMPARAN,2135574402.0,10147.0,18371.0,805.0,2731981760.0,95935.0,116199.0,3111852552.0,18227.0,229801.0,29323.0,460162.0,15.6923339244305
BIHAR,GAYA,1716084051.0,6722.0,20244.0,435.0,2245331577.0,85898.0,99274.0,2652209882.0,19945.0,175229.0,27401.0,380346.0,13.880227720604335
BIHAR,GOPALGANJ,1133410836.0,5303.0,9649.0,196.0,1532235042.0,46818.0,56666.0,1726601984.0,8025.0,97842.0,15148.0,209351.0,13.819460030365041
BIHAR,JAMUI,644179861.0,5193.0,5029.0,160.0,848629982.0,46558.0,35599.0,959779094.0,5423.0,61497.0,10382.0,149077.0,14.3577963979582
BIHAR,JEHANABAD,858673910.0,915.0,3827.0,141.0,1267519586.0,15681.0,21749.0,1496768896.0,4393.0,41968.0,4883.0,83791.0,17.156224406224407
BIHAR,KAIMUR (BHABUA),564413749.0,3033.0,4707.0,85.0,737289586.0,37550.0,40607.0,854444803.0,5463.0,61555.0,7825.0,145175.0,18.550345003833375
BIHAR,KATIHAR,1177273965.0,11332.0,4903.0,115.0,1588173542.0,98243.0,119037.0,1754757842.0,11847.0,168447.0,16350.0,397574.0,24.314965445538498
BIHAR,KHAGARIA,796562086.0,4348.0,3779.0,69.0,1024660178.0,39283.0,40621.0,1202445561.0,7370.0,68254.0,8196.0,155528.0,18.97377089178968
BIHAR,KISHANGANJ,444637923.0,6957.0,1782.0,25.0,596802715.0,57815.0,83464.0,637853495.0,6372.0,138769.0,8764.0,286420.0,32.677695379349686
BIHAR,LAKHISARAI,423465802.0,2664.0,3423.0,68.0,630330036.0,22610.0,26887.0,738224526.0,4081.0,44802.0,6155.0,98380.0,15.981156595191683
BIHAR,MADHEPURA,879462326.0,4571.0,4417.0,39.0,1250091751.0,51666.0,65571.0,1426538794.0,6595.0,85266.0,9027.0,209098.0,23.16105449712007
BIHAR,MADHUBANI,2232439744.0,12598.0,12534.0,798.0,3041446869.0,110514.0,127621.0,3429426532.0,13587.0,168104.0,25930.0,419826.0,16.190119933670125
BIHAR,MONGHYR,34078723.0,29.0,20.0,0.0,64910635.0,5.0,94.0,133054190.0,2.0,280.0,49.0,381.0,7.62
BIHAR,MUNGER,535915127.0,2445.0,3534.0,108.0,715445778.0,21620.0,28851.0,860091129.0,4129.0,51818.0,6087.0,106418.0,17.479960578186596
BIHAR,MUZAFFARPUR,2500899203.0,14087.0,14103.0,665.0,3496709850.0,93075.0,115469.0,4017793049.0,15939.0,190978.0,28855.0,415461.0,14.397733573606876
BIHAR,NALANDA,1380568662.0,3676.0,10763.0,136.0,1907279543.0,51140.0,66262.0,2293196153.0,11812.0,141231.0,14575.0,270445.0,18.55413007683864
BIHAR,NAWADA,1160938190.0,2742.0,12380.0,291.0,1567472402.0,38447.0,47798.0,1769507431.0,6895.0,79623.0,15413.0,172763.0,11.208187362138316
BIHAR,PASHCHIM CHAMPARAN,68472382.0,5060.0,10737.0,562.0,156372088.0,40.0,313.0,366021092.0,23.0,1097.0,16359.0,1473.0,0.09003667481662592
BIHAR,PATNA,2717610067.0,6745.0,17151.0,748.0,4105921810.0,93322.0,115692.0,4848425373.0,20931.0,222841.0,24644.0,452786.0,18.37232704402516
BIHAR,PURBA CHAMPARAN,89629422.0,61.0,66.0,0.0,185148888.0,27.0,237.0,488632419.0,19.0,915.0,127.0,1198.0,9.359375
BIHAR,PURBI CHAMPARAN,20288618.0,4000.0,10071.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,14871.0,0.0,0.0
BIHAR,PURNEA,117041380.0,169.0,88.0,0.0,341727531.0,1027.0,3927.0,398103011.0,102.0,2704.0,257.0,7760.0,30.07751937984496
BIHAR,PURNIA,1357487494.0,12195.0,7721.0,184.0,1860689960.0,106033.0,122518.0,2121250319.0,9447.0,133927.0,20100.0,371925.0,18.502810805432567
BIHAR,ROHTAS,1350892710.0,2741.0,5120.0,78.0,2062829302.0,50054.0,61656.0,2395612493.0,10462.0,107283.0,7939.0,229455.0,28.898614609571787
BIHAR,SAHARSA,931411266.0,6281.0,6577.0,205.0,1273973509.0,42412.0,77454.0,1436735495.0,6443.0,74734.0,13063.0,201043.0,15.389084507042254
BIHAR,SAMASTIPUR,2104325675.0,11289.0,7787.0,131.0,2793868040.0,93161.0,107004.0,3129758659.0,15445.0,186847.0,19207.0,402457.0,20.952571845064558
BIHAR,SAMSTIPUR,62763852.0,41.0,41.0,0.0,139097431.0,13.0,182.0,309577649.0,10.0,438.0,82.0,643.0,7.746987951807229
BIHAR,SARAN,2611403262.0,7592.0,16407.0,219.0,3469516967.0,63026.0,85477.0,3959983675.0,14788.0,155057.0,24218.0,318348.0,13.144555927164623
BIHAR,SHEIKHPURA,348797113.0,1244.0,1934.0,21.0,517530662.0,16884.0,23539.0,577557120.0,2326.0,25762.0,3199.0,68511.0,21.4096875
BIHAR,SHEIKPURA,19466499.0,11.0,18.0,0.0,68133143.0,5.0,128.0,76244362.0,1.0,177.0,29.0,311.0,10.366666666666667
